,Föremålsbenämning,Föremålsnr.,Förvärvsnr.,Andra nummer,Material,Plats,Fornlämning,Socken,Landskap,Land,Kontexttyp,Kontextnr.,Artbedömning,Benslagsbedömning,Museum,Unique Name,Catalog Link,Extra Details
0,yxa med skafthål,TESTPOST_SIS_01,TESTPOST_SIS_ACC_01,Nr 1867: 17:17:17:896:783,Päronträ,"Ohio, San Juan County, Reapture Creek, Fagerskolan",TESTPOST_SIS_GEO_FORNL_02,,,,Boplats,09876_TEST,Accipiter nisus,Membrum superius,Historiska museet,yxa med skafthål - 1,https://samlingar.shm.se/object/120e476a-f8c9-4791-b331-e54ce3691853,"{""Museum"": ""Historiska museet"", ""F\u00f6rem\u00e5lsben\u00e4mning"": ""yxa med skafth\u00e5l"", ""Kategori"": ""Yxor"", ""Val\u00f6r"": ""10 bolognino (Notering)"", ""Material"": ""P\u00e4rontr\u00e4 (Kolven)"", ""Storlek"": ""Arkets vikning 4 mm (H\u00f6ger ben)  Bredd 35 mm (V\u00e4nster arm)"", ""Teknik"": ""Cama\u00efeudekor (\u00d6vre delen)"", ""Antal"": ""1"", ""Antal fragment"": ""1"", ""Datering"": ""1700 (cirka) \u2013 1799 (cirka) Tillverkningsdatum noteringar"", ""Tidsperiod"": ""1700-tal"", ""Tillverkningsplats"": ""Baouss\u00e9-Rouss\u00e9, Menton (Tillverkningsplats notering)"", ""Tillverkare"": ""Ablancourt, Nicolas Perrot d' (Tillverkare)"", ""Tidigare \u00e4gare"": ""Alice Babs"", ""Avbildad"": ""Abbas den store av Persien  Ok\u00e4nd fyndort, Sverige?  100-\u00e5rsminnet av Alexander I:s f\u00f6delse"", ""Motiv"": ""Andreas begravning  Agatas martyrium"", ""Stil"": ""Djurornamentik stil III"", ""Inskription"": ""Dekor Fr\u00e5nsida: Lorem ipsum dolor sit amet, consectetur adipiscing elit., Latin (Samma text lorem ipsum fast \u00f6versatt)"", ""Fysiska egenskaper"": ""Form: Stor flodh\u00e4st"", ""F\u00f6rem\u00e5lsnummer"": ""TESTPOST_SIS_01"", ""Andra nummer"": ""Nr 1867: 17:17:17:896:783"", ""Litteratur"": ""Naturligt \u00e5ldrat papper. Rapport nr 4\t2. Svenska papper 1908-1988, 3-7"", ""Historisk person"": ""Abramson, Abraham (Brukad av)"", ""Historisk plats"": ""Nafplion, Grekland (Brukad i)"", ""Historisk h\u00e4ndelse"": ""Slaget vid Brunnb\u00e4cks f\u00e4rja (Krigsbyte)"", ""Associerat \u00e4mne"": ""Religion (Omn\u00e4mnd p\u00e5/i)"", ""Osteologisk artbed\u00f6mning"": ""Accipiter nisus (Sparvh\u00f6k)"", ""Osteologisk benslagsbed\u00f6mning"": ""Membrum superius (Arm)"", ""Osteologiska skador/sjukdomar"": ""depressionsfraktur"", ""Osteologisk \u00e5ldersbed\u00f6mning"": ""+50"", ""Osteologisk k\u00f6nsbest\u00e4mning"": ""Kvinna"", ""Accessionsdatum"": ""1836-02-02"", ""F\u00f6rv\u00e4rvsnummer"": ""TESTPOST_SIS_ACC_01"", ""Omn\u00e4mns i katalog"": ""https://historiska.se/utstallningar/"", ""F\u00f6rv\u00e4rvsmetod"": ""G\u00e5va"", ""F\u00f6rv\u00e4rvsk\u00e4lla"": ""Historiska museet"", ""Fyndplats"": ""Plats: Ohio, San Juan County, Reapture Creek, Plats: Fagerskolan, Fornl\u00e4mning: TESTPOST_SIS_GEO_FORNL_02"", ""Arkeologisk kontext"": ""Boplats, Fatburstornet: 09876_TEST"", ""Kontextnamn"": ""J\u00e4tteh\u00f6gen"", ""Unders\u00f6kare"": ""Arkeologiska forskningslaboratoriet  \u00d6rebro l\u00e4ns museum"", ""Unders\u00f6knings\u00e5r"": ""1432 \u2013 1448"", ""Relaterat f\u00f6rem\u00e5l"": ""TESTPOST_SIS_02"", ""Tillh\u00f6rande texter"": ""Typ  \u00c4ldre inventarium  Datum  1937  Titel  SKOBORSTE.  Text  Borstrygg af bj\u00f6rk, afl\u00e5ng med b\u00e5gformiga \u00e4ndar, b\u00e5gformig \u00f6fversida och k\u00e4lformiga sidokanter. Bindlar af svart tagel. \u00c5 \u00f6fversidan inskuret: W v H. L\u00e4ngd: 20 cm.; bredd: 6.3 cm.  Typ  F\u00f6rem\u00e5lsskylt  Titel  Nya vikingar  Text  Torshammarring av j\u00e4rn. Den vridna (torderade) ringen \u00e4r ledad med upprullade \u00e4ndar. H\u00e4ngen i form av en torshammare och en liten ring med torshammare och en liten flat ring. Gravfynd fr\u00e5n V\u00e4sby, Vallentuna socken, Uppland.  Typ  \u00c4ldre inventarium  Datum  1855  Titel  1:o Enligt Rapport till Kongl. Krigs Collegium af den 30 Juni 1851.  Text  1850 Maj 27 Fr\u00e5n Lif Bev\u00e4rings Regementet ..... 20 st Br\u00f6stharnesk af poleradt jern, med bl\u00e5 vapenpl\u00e5t med tre kronor och der\u00f6fver en kongl. krona, fodrade, och kantade i armh\u00e5lan med bl\u00e5tt siden. 20 st Ryggharnesk, h\u00f6rande till desamma Ofvanst\u00e5ende rustningar hafva varit begagnade af Lif Bev\u00e4rings Regementets officerare vid tjenstg\u00f6ring som Lifdrabanter. Rubrik: Tillkomna Effekter: Sida: 62  + Visa mer""}"
1,Mynt,2720_SKO,,,Silver,,,,,,,,,,Skoklosters slott,Mynt - 2,https://samlingar.shm.se/object/DCE9B779-7405-4F36-837A-F9491A804C53,"{""Museum"": ""Skoklosters slott"", ""F\u00f6rem\u00e5lsben\u00e4mning"": ""Mynt"", ""Kategori"": ""\u00d6vriga regulj\u00e4ra mynt"", ""Material"": ""Silver"", ""Storlek"": ""Diameter 21 mm  Tjocklek 1 mm"", ""Teknik"": ""Pr\u00e4gling"", ""Antal"": ""1"", ""F\u00f6rem\u00e5lsnummer"": ""2720_SKO""}"
2,Svärd,13389_SKO,,,Järn,,,,,,,,,,Skoklosters slott,Svärd - 3,https://samlingar.shm.se/object/200CC095-42A5-4424-A98F-887A7AE35586,"{""Museum"": ""Skoklosters slott"", ""F\u00f6rem\u00e5lsben\u00e4mning"": ""Sv\u00e4rd"", ""Kategori"": ""Metall"", ""Material"": ""J\u00e4rn"", ""Storlek"": ""L\u00e4ngd 190 mm  Bredd 93 mm (underhjalt)"", ""Antal"": ""1"", ""Antal fragment"": ""1"", ""Datering"": ""800 \u2013 1050 800-1050 EKR cirka"", ""Tidsperiod"": ""Vikingatid"", ""Tidigare \u00e4gare"": ""Brahe, Magnus  Fransen, Johan"", ""F\u00f6rem\u00e5lsnummer"": ""13389_SKO""}"
3,Skäggyxa,13391_SKO,,,Järn,,,,,,,,,,Skoklosters slott,Skäggyxa - 4,https://samlingar.shm.se/object/82143ADC-76CB-433A-8B41-D6A9CDB51EBA,"{""Museum"": ""Skoklosters slott"", ""F\u00f6rem\u00e5lsben\u00e4mning"": ""Sk\u00e4ggyxa"", ""Kategori"": ""Yxor"", ""Material"": ""J\u00e4rn"", ""Storlek"": ""L\u00e4ngd 160 mm"", ""Teknik"": ""Gjutning"", ""Antal"": ""1"", ""Datering"": ""800 800-1050EKR cirka"", ""Tidigare \u00e4gare"": ""Brahe, Magnus  Fransen, Johan"", ""F\u00f6rem\u00e5lsnummer"": ""13391_SKO""}"
4,Svärd Petersen H,13394_SKO,,,Järn,,,,,,,,,,Skoklosters slott,Svärd Petersen H - 5,https://samlingar.shm.se/object/29B6ACDD-651C-49A5-8A1B-3F833F3A526A,"{""Museum"": ""Skoklosters slott"", ""F\u00f6rem\u00e5lsben\u00e4mning"": ""Sv\u00e4rd Petersen H  Sv\u00e4rd"", ""Kategori"": ""Metall"", ""Material"": ""J\u00e4rn"", ""Storlek"": ""L\u00e4ngd 85 mm (\u00f6verhjalt)  L\u00e4ngd 98 mm (parerst\u00e5ng)"", ""Antal"": ""1"", ""Antal fragment"": ""2"", ""Datering"": ""800 \u2013 1050 800-1050EKR cirka"", ""Tidsperiod"": ""Vikingatid"", ""Tidigare \u00e4gare"": ""Brahe, Magnus  Fransen, Johan"", ""F\u00f6rem\u00e5lsnummer"": ""13394_SKO""}"
5,Oval spännbuckla P55,13381_SKO,,,"Cu-legering, Järn",,,,,,,,,,Skoklosters slott,Oval spännbuckla P55 - 6,https://samlingar.shm.se/object/D6D44D49-DAD3-430B-AF2F-BE59EF53B4A8,"{""Museum"": ""Skoklosters slott"", ""F\u00f6rem\u00e5lsben\u00e4mning"": ""Oval sp\u00e4nnbuckla P55  Sp\u00e4nne"", ""Material"": ""Cu-legering  J\u00e4rn"", ""Storlek"": ""Bredd 65 mm  L\u00e4ngd 100 mm"", ""Antal"": ""2"", ""Antal fragment"": ""2"", ""Datering"": ""800 \u2013 1100 800-1050EKR cirka"", ""Tidsperiod"": ""Vikingatid"", ""F\u00f6rem\u00e5lsnummer"": ""13381_SKO""}"
6,Kärl,1381901_HST,36790,Fyndnummer: 124,Keramik,Storgården,L1941:2641,Uppsala socken,Uppland,Sverige,Fyllning,1689,,,Historiska museet,Kärl - 7,https://samlingar.shm.se/object/E6EE2808-1FDD-49D3-8718-73F1EB2269C8,"{""Museum"": ""Historiska museet"", ""F\u00f6rem\u00e5lsben\u00e4mning"": ""K\u00e4rl"", ""Material"": ""Keramik"", ""Storlek"": ""Vikt 12 g"", ""Antal"": ""1"", ""Antal fragment"": ""1"", ""F\u00f6rem\u00e5lsnummer"": ""1381901_HST"", ""Andra nummer"": ""Fyndnummer: 124  FID: 1381901"", ""Accessionsdatum"": ""2019-04-30"", ""F\u00f6rv\u00e4rvsnummer"": ""36790"", ""F\u00f6rv\u00e4rvsmetod"": ""KML"", ""Fyndplats"": ""Plats: Storg\u00e5rden, Fornl\u00e4mning: L1941:2641, Fastighet: Gamla Uppsala 20:1, Socken: Uppsala socken, Kommun: Uppsala kommun, Landskap: Uppland, Land: Sverige"", ""Arkeologisk kontext"": ""Fyllning: 1689"", ""Kontextnamn"": ""1689"", ""Unders\u00f6kare"": ""Seiler, Anton""}"
7,Spjutspets,1363755_HST,36124,Fyndnummer: 1,Järn,"RV 70, sträckan Enköping-Simtuna, Raä 240",L1939:4263,Frösthult socken,Uppland,Sverige,Utfyllnadslager,677,,,Historiska museet,Spjutspets - 8,https://samlingar.shm.se/object/5AA3BF75-4217-44DC-97B9-3BD281B8EFA6,"{""Museum"": ""Historiska museet"", ""F\u00f6rem\u00e5lsben\u00e4mning"": ""Spjutspets"", ""Material"": ""J\u00e4rn"", ""Storlek"": ""Vikt 302 g"", ""Antal"": ""1"", ""F\u00f6rem\u00e5lsnummer"": ""1363755_HST"", ""Andra nummer"": ""Fyndnummer: 1  FID: 1363755"", ""F\u00f6rv\u00e4rvsnummer"": ""36124"", ""F\u00f6rv\u00e4rvsmetod"": ""KML"", ""Fyndplats"": ""Plats: RV 70, str\u00e4ckan Enk\u00f6ping-Simtuna, Ra\u00e4 240, Fornl\u00e4mning: L1939:4263, Socken: Fr\u00f6sthult socken, Kommun: Enk\u00f6ping kommun, Landskap: Uppland, Land: Sverige"", ""Arkeologisk kontext"": ""Utfyllnadslager: 677""}"
8,Spänne,1386892_HST,36069,Fyndnummer: 277,Cu-legering,Rörby,L1940:4235,Bälinge socken,Uppland,Sverige,,,,,Historiska museet,Spänne - 9,https://samlingar.shm.se/object/BCFA2D55-A8EB-42A1-9631-172E4C64C096,"{""Museum"": ""Historiska museet"", ""F\u00f6rem\u00e5lsben\u00e4mning"": ""Sp\u00e4nne"", ""Kategori"": ""Arkeologisk samling"", ""Material"": ""Cu-legering"", ""Storlek"": ""Vikt 5 g"", ""Antal"": ""1"", ""F\u00f6rem\u00e5lsnummer"": ""1386892_HST"", ""Andra nummer"": ""Fyndnummer: 277  FID: 1386892"", ""F\u00f6rv\u00e4rvsnummer"": ""36069"", ""F\u00f6rv\u00e4rvsmetod"": ""KML"", ""Fyndplats"": ""Plats: R\u00f6rby, Fornl\u00e4mning: L1940:4235, Fastighet: R\u00f6rby 8:6, Socken: B\u00e4linge socken, Kommun: Uppsala kommun, Landskap: Uppland, Land: Sverige""}"
9,Brodd,1386727_HST,36069,Fyndnummer: 331,Järn,Rörby,L1940:4235,Bälinge socken,Uppland,Sverige,,,,,Historiska museet,Brodd - 10,https://samlingar.shm.se/object/7B84A5EE-3156-445E-BC78-1CBE485775EB,"{""Museum"": ""Historiska museet"", ""F\u00f6rem\u00e5lsben\u00e4mning"": ""Brodd"", ""Material"": ""J\u00e4rn"", ""Storlek"": ""Vikt 7 g"", ""Antal"": ""1"", ""F\u00f6rem\u00e5lsnummer"": ""1386727_HST"", ""Andra nummer"": ""Fyndnummer: 331  FID: 1386727"", ""F\u00f6rv\u00e4rvsnummer"": ""36069"", ""F\u00f6rv\u00e4rvsmetod"": ""KML"", ""Fyndplats"": ""Plats: R\u00f6rby, Fornl\u00e4mning: L1940:4235, Fastighet: R\u00f6rby 8:6, Socken: B\u00e4linge socken, Kommun: Uppsala kommun, Landskap: Uppland, Land: Sverige""}"
