,Föremålsbenämning,Föremålsnr.,Förvärvsnr.,Andra nummer,Material,Plats,Fornlämning,Socken,Landskap,Land,Kontexttyp,Kontextnr.,Artbedömning,Benslagsbedömning,Museum,Unique Name,Catalog Link,Extra Details
0,Bipolär vikt,371770_HST,16835,Undernummer: 2,"Brons, Järn",Tystebols,,Stenkyrka socken,Gotland,Sverige,,,,,Historiska museet,Bipolär vikt - 1,https://samlingar.shm.se/object/B5B8200F-E7CB-4057-97EA-EF2FEE3CEC90,"{""Museum"": ""Historiska museet"", ""F\u00f6rem\u00e5lsben\u00e4mning"": ""Bipol\u00e4r vikt  Vikt"", ""Kategori"": ""Arkeologisk samling  Handel och v\u00e4rdem\u00e4tare"", ""Material"": ""Brons  J\u00e4rn"", ""Storlek"": ""Diameter 68 mm"", ""Antal"": ""2"", ""Datering"": ""800 \u2013 1100"", ""Tidsperiod"": ""Vikingatid"", ""F\u00f6rem\u00e5lsnummer"": ""371770_HST"", ""Andra nummer"": ""Undernummer: 2  FID: 371770"", ""F\u00f6rv\u00e4rvsnummer"": ""16835"", ""Omn\u00e4mns i katalog"": ""http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=16835"", ""Fyndplats"": ""Plats: Tystebols, Socken: Stenkyrka socken, Kommun: Gotland kommun, Landskap: Gotland, Land: Sverige"", ""Delar"": ""614146_HST""}"
1,Vikt,106523_HST,34000,Undernummer: Bj 977,Brons,"Björkö, Hemlanden",L2017:1904,Adelsö socken,Uppland,Sverige,Kammargrav,977,,,Historiska museet,Vikt - 2,https://samlingar.shm.se/object/156E4F60-151E-4AD2-ABB0-505F1AF96892,"{""Museum"": ""Historiska museet"", ""F\u00f6rem\u00e5lsben\u00e4mning"": ""Vikt"", ""Kategori"": ""Handel och v\u00e4rdem\u00e4tare  Arkeologisk samling"", ""Material"": ""Brons"", ""Antal"": ""1"", ""Datering"": ""800 \u2013 1100"", ""Tidsperiod"": ""Vikingatid"", ""F\u00f6rem\u00e5lsnummer"": ""106523_HST"", ""Andra nummer"": ""Undernummer: Bj 977  Fyndnummer: 62  FID: 106523"", ""Historisk plats"": ""Birka, Adels\u00f6 socken"", ""F\u00f6rv\u00e4rvsnummer"": ""34000"", ""Omn\u00e4mns i katalog"": ""http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000"", ""F\u00f6rv\u00e4rvsmetod"": ""KML"", ""Fyndplats"": ""Plats: Bj\u00f6rk\u00f6, Hemlanden, Fornl\u00e4mning: L2017:1904, Socken: Adels\u00f6 socken, Kommun: Eker\u00f6 kommun, Landskap: Uppland, Land: Sverige"", ""Arkeologisk kontext"": ""Kammargrav, Grav, H\u00f6g: 977"", ""Kontextnamn"": ""Bj 977"", ""Unders\u00f6kare"": ""Stolpe, Hjalmar"", ""Unders\u00f6knings\u00e5r"": ""1881""}"
2,Balansvåg,107068_HST,12426,Undernummer: M:IV,Brons,Rösta,L1945:291,Ås socken,Jämtland,Sverige,Grav,M:IV,,,Historiska museet,Balansvåg - 3,https://samlingar.shm.se/object/C98C78B5-223A-4063-9A95-D097CDA15BCD,"{""Museum"": ""Historiska museet"", ""F\u00f6rem\u00e5lsben\u00e4mning"": ""Balansv\u00e5g  V\u00e5g"", ""Kategori"": ""Handel och v\u00e4rdem\u00e4tare  Arkeologisk samling"", ""Material"": ""Brons"", ""Antal"": ""1"", ""Datering"": ""800 \u2013 1100"", ""Tidsperiod"": ""Vikingatid"", ""F\u00f6rem\u00e5lsnummer"": ""107068_HST"", ""Andra nummer"": ""Undernummer: M:IV  FID: 107068"", ""F\u00f6rv\u00e4rvsnummer"": ""12426"", ""Omn\u00e4mns i katalog"": ""http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=12426"", ""Fyndplats"": ""Plats: R\u00f6sta, Fornl\u00e4mning: L1945:291, Socken: \u00c5s socken, Kommun: Krokom kommun, Landskap: J\u00e4mtland, Land: Sverige"", ""Arkeologisk kontext"": ""Grav: M:IV""}"
3,Mynthänge,46_HST,33758,Undernummer: 50,Silver,Spillings,L1976:7626,Othem socken,Gotland,Sverige,Skattfynd,1,,,Historiska museet,Mynthänge - 4,https://samlingar.shm.se/object/32ECD6F0-CE46-476D-81D0-512997A43085,"{""Museum"": ""Historiska museet"", ""F\u00f6rem\u00e5lsben\u00e4mning"": ""Mynth\u00e4nge  H\u00e4nge"", ""Kategori"": ""Dr\u00e4kt och personlig utrustning  Handel och v\u00e4rdem\u00e4tare  Arkeologisk samling"", ""Material"": ""Silver"", ""Storlek"": ""Vikt 49.3 g"", ""Antal"": ""38"", ""Datering"": ""800 \u2013 1100"", ""Tidsperiod"": ""Vikingatid"", ""F\u00f6rem\u00e5lsnummer"": ""46_HST"", ""Andra nummer"": ""Undernummer: 50  Fyndnummer: 43  FID: 46"", ""F\u00f6rv\u00e4rvsnummer"": ""33758"", ""Omn\u00e4mns i katalog"": ""http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33758"", ""F\u00f6rv\u00e4rvsmetod"": ""KML (inl\u00f6sen)"", ""Fyndplats"": ""Plats: Spillings, Fornl\u00e4mning: L1976:7626, Fastighet: Spillings 1:36, Socken: Othem socken, Kommun: Gotland kommun, Landskap: Gotland, Land: Sverige"", ""Arkeologisk kontext"": ""Skattfynd: 1"", ""Kontextnamn"": ""Spillingskatten""}"
4,Barr,50_HST,33758,Undernummer: 57,Silver,Spillings,L1976:7626,Othem socken,Gotland,Sverige,Skattfynd,1,,,Historiska museet,Barr - 5,https://samlingar.shm.se/object/7018CC3C-AE00-42BE-96CD-735E7426B5D4,"{""Museum"": ""Historiska museet"", ""F\u00f6rem\u00e5lsben\u00e4mning"": ""Barr"", ""Kategori"": ""Hantverk och redskap  Handel och v\u00e4rdem\u00e4tare  Arkeologisk samling"", ""Material"": ""Silver"", ""Storlek"": ""Vikt 10 g  L\u00e4ngd 36 mm  Bredd 7 mm  Tjocklek 6.5 mm"", ""Antal"": ""1"", ""Datering"": ""800 \u2013 1100"", ""Tidsperiod"": ""Vikingatid"", ""F\u00f6rem\u00e5lsnummer"": ""50_HST"", ""Andra nummer"": ""Undernummer: 57  Fyndnummer: 46  FID: 50"", ""F\u00f6rv\u00e4rvsnummer"": ""33758"", ""Omn\u00e4mns i katalog"": ""http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33758"", ""F\u00f6rv\u00e4rvsmetod"": ""KML (inl\u00f6sen)"", ""Fyndplats"": ""Plats: Spillings, Fornl\u00e4mning: L1976:7626, Fastighet: Spillings 1:36, Socken: Othem socken, Kommun: Gotland kommun, Landskap: Gotland, Land: Sverige"", ""Arkeologisk kontext"": ""Skattfynd: 1"", ""Kontextnamn"": ""Spillingskatten""}"
5,Barr,64_HST,33758,Undernummer: 113,Silver,Spillings,L1976:7626,Othem socken,Gotland,Sverige,Skattfynd,1,,,Historiska museet,Barr - 6,https://samlingar.shm.se/object/50EEAB6B-F3BC-4F28-BF91-83BBCB2D9CB7,"{""Museum"": ""Historiska museet"", ""F\u00f6rem\u00e5lsben\u00e4mning"": ""Barr"", ""Kategori"": ""Hantverk och redskap  Handel och v\u00e4rdem\u00e4tare  Arkeologisk samling"", ""Material"": ""Silver"", ""Storlek"": ""Vikt 14.5 g  L\u00e4ngd 28 mm  Bredd 12 mm  Tjocklek 8 mm"", ""Antal"": ""1"", ""Datering"": ""800 \u2013 1100"", ""Tidsperiod"": ""Vikingatid"", ""F\u00f6rem\u00e5lsnummer"": ""64_HST"", ""Andra nummer"": ""Undernummer: 113  Fyndnummer: 91  FID: 64"", ""F\u00f6rv\u00e4rvsnummer"": ""33758"", ""Omn\u00e4mns i katalog"": ""http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33758"", ""F\u00f6rv\u00e4rvsmetod"": ""KML (inl\u00f6sen)"", ""Fyndplats"": ""Plats: Spillings, Fornl\u00e4mning: L1976:7626, Fastighet: Spillings 1:36, Socken: Othem socken, Kommun: Gotland kommun, Landskap: Gotland, Land: Sverige"", ""Arkeologisk kontext"": ""Skattfynd: 1"", ""Kontextnamn"": ""Spillingskatten""}"
6,Barr,66_HST,33758,Undernummer: 118,Silver,Spillings,L1976:7626,Othem socken,Gotland,Sverige,Skattfynd,1,,,Historiska museet,Barr - 7,https://samlingar.shm.se/object/9E84D597-2B03-49D4-AA4A-071787E9624C,"{""Museum"": ""Historiska museet"", ""F\u00f6rem\u00e5lsben\u00e4mning"": ""Barr"", ""Kategori"": ""Hantverk och redskap  Handel och v\u00e4rdem\u00e4tare  Arkeologisk samling"", ""Material"": ""Silver"", ""Storlek"": ""Vikt 38.2 g  L\u00e4ngd 72.5 mm  Bredd 9 mm  Tjocklek 8 mm"", ""Antal"": ""1"", ""Datering"": ""800 \u2013 1100"", ""Tidsperiod"": ""Vikingatid"", ""F\u00f6rem\u00e5lsnummer"": ""66_HST"", ""Andra nummer"": ""Undernummer: 118  Fyndnummer: 93  FID: 66"", ""F\u00f6rv\u00e4rvsnummer"": ""33758"", ""Omn\u00e4mns i katalog"": ""http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33758"", ""F\u00f6rv\u00e4rvsmetod"": ""KML (inl\u00f6sen)"", ""Fyndplats"": ""Plats: Spillings, Fornl\u00e4mning: L1976:7626, Fastighet: Spillings 1:36, Socken: Othem socken, Kommun: Gotland kommun, Landskap: Gotland, Land: Sverige"", ""Arkeologisk kontext"": ""Skattfynd: 1"", ""Kontextnamn"": ""Spillingskatten""}"
7,Barr,114_HST,33758,Undernummer: 176,Silver,Spillings,L1976:7626,Othem socken,Gotland,Sverige,Skattfynd,1,,,Historiska museet,Barr - 8,https://samlingar.shm.se/object/4097C092-D6CC-4A36-BC5D-0B3FF0EFBC81,"{""Museum"": ""Historiska museet"", ""F\u00f6rem\u00e5lsben\u00e4mning"": ""Barr"", ""Kategori"": ""Hantverk och redskap  Handel och v\u00e4rdem\u00e4tare  Arkeologisk samling"", ""Material"": ""Silver"", ""Storlek"": ""Vikt 98.9 g  L\u00e4ngd 73 mm  Bredd 14 mm  Tjocklek 9 mm"", ""Antal"": ""1"", ""Datering"": ""800 \u2013 1100"", ""Tidsperiod"": ""Vikingatid"", ""F\u00f6rem\u00e5lsnummer"": ""114_HST"", ""Andra nummer"": ""Undernummer: 176  Fyndnummer: 136  FID: 114"", ""F\u00f6rv\u00e4rvsnummer"": ""33758"", ""Omn\u00e4mns i katalog"": ""http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33758"", ""F\u00f6rv\u00e4rvsmetod"": ""KML (inl\u00f6sen)"", ""Fyndplats"": ""Plats: Spillings, Fornl\u00e4mning: L1976:7626, Fastighet: Spillings 1:36, Socken: Othem socken, Kommun: Gotland kommun, Landskap: Gotland, Land: Sverige"", ""Arkeologisk kontext"": ""Skattfynd: 1"", ""Kontextnamn"": ""Spillingskatten""}"
8,Barr,148_HST,33758,Undernummer: 213,Silver,Spillings,L1976:7626,Othem socken,Gotland,Sverige,Skattfynd,1,,,Historiska museet,Barr - 9,https://samlingar.shm.se/object/DD792FC6-35A5-40AD-998C-D3CD1453806D,"{""Museum"": ""Historiska museet"", ""F\u00f6rem\u00e5lsben\u00e4mning"": ""Barr"", ""Kategori"": ""Hantverk och redskap  Handel och v\u00e4rdem\u00e4tare  Arkeologisk samling"", ""Material"": ""Silver"", ""Storlek"": ""Vikt 92.6 g  L\u00e4ngd 90 mm  Bredd 14 mm  Tjocklek 12 mm"", ""Antal"": ""1"", ""Datering"": ""800 \u2013 1100"", ""Tidsperiod"": ""Vikingatid"", ""F\u00f6rem\u00e5lsnummer"": ""148_HST"", ""Andra nummer"": ""Undernummer: 213  Fyndnummer: 167  FID: 148"", ""F\u00f6rv\u00e4rvsnummer"": ""33758"", ""Omn\u00e4mns i katalog"": ""http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33758"", ""F\u00f6rv\u00e4rvsmetod"": ""KML (inl\u00f6sen)"", ""Fyndplats"": ""Plats: Spillings, Fornl\u00e4mning: L1976:7626, Fastighet: Spillings 1:36, Socken: Othem socken, Kommun: Gotland kommun, Landskap: Gotland, Land: Sverige"", ""Arkeologisk kontext"": ""Skattfynd: 1"", ""Kontextnamn"": ""Spillingskatten""}"
9,Permisk halsring,183_HST,33758,Undernummer: 396,Silver,Spillings,L1976:7626,Othem socken,Gotland,Sverige,Skattfynd,1,,,Historiska museet,Permisk halsring - 10,https://samlingar.shm.se/object/006BB886-232A-4C3C-A2DC-22B0FF3C4C5B,"{""Museum"": ""Historiska museet"", ""F\u00f6rem\u00e5lsben\u00e4mning"": ""Permisk halsring  spiralring"", ""Kategori"": ""Handel och v\u00e4rdem\u00e4tare  Arkeologisk samling"", ""Material"": ""Silver"", ""Storlek"": ""Vikt 70 g  Diameter 74 mm  Bredd 6.5 mm  Tjocklek 5.5 mm"", ""Antal"": ""1"", ""Datering"": ""800 \u2013 1100"", ""Tidsperiod"": ""Vikingatid"", ""F\u00f6rem\u00e5lsnummer"": ""183_HST"", ""Andra nummer"": ""Undernummer: 396  Fyndnummer: 47  FID: 183"", ""F\u00f6rv\u00e4rvsnummer"": ""33758"", ""Omn\u00e4mns i katalog"": ""http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33758"", ""F\u00f6rv\u00e4rvsmetod"": ""KML (inl\u00f6sen)"", ""Fyndplats"": ""Plats: Spillings, Fornl\u00e4mning: L1976:7626, Fastighet: Spillings 1:36, Socken: Othem socken, Kommun: Gotland kommun, Landskap: Gotland, Land: Sverige"", ""Arkeologisk kontext"": ""Skattfynd: 1"", ""Kontextnamn"": ""Spillingskatten""}"
