,Unnamed: 0,Föremålsbenämning,Föremålsnr.,Förvärvsnr.,Andra nummer,Material,Plats,Fornlämning,Socken,Landskap,Land,Kontexttyp,Kontextnr.,Museum,Unique Name,Catalog Link,Kategori,Storlek,Antal,Datering,Tidsperiod,Föremålsnummer,Historisk plats,Förvärvsnummer,Omnämns i katalog,Förvärvsmetod,Fyndplats,Arkeologisk kontext,Kontextnamn,Undersökare,Undersökningsår,Antal fragment,Föremålsbenämning_Translated,Föremålsnr._Translated,Andra nummer_Translated,Material_Translated,Plats_Translated,Fornlämning_Translated,Socken_Translated,Landskap_Translated
0,0,Spjut,371667_HST,34000.0,Undernummer: Bj 581,Järn,"Björkö, Norr om Borg",L2017:1478,Adelsö socken,Uppland,Sverige,Kammargrav,581,Historiska museet,Spjut - 1,https://samlingar.shm.se/object/58928958-A16E-4BDB-B223-4C649F0D58D5,Vapen och rustningar  Arkeologisk samling,Längd 450 mm  Bredd 27 mm,1,800 – 1100,Vikingatid,371667_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,"Plats: Björkö, Norr om Borg, Fornlämning: L2017:1478, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Grav, Flatmarksgrav: 581",Bj 581,"Stolpe, Hjalmar",1878,,Spjut,371667_HST,Undernummer: Bj 581,Järn,"Björkö, Norr om Borg",L2017:1478,Adelsö socken,Uppland
1,1,Spjut,371668_HST,34000.0,Undernummer: Bj 581,Järn,"Björkö, Norr om Borg",L2017:1478,Adelsö socken,Uppland,Sverige,Kammargrav,581,Historiska museet,Spjut - 2,https://samlingar.shm.se/object/EFCC758B-B6BB-435C-9357-8C440386B23E,Vapen och rustningar  Arkeologisk samling,Längd 340 mm  Bredd 20 mm,1,800 – 1100,Vikingatid,371668_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,"Plats: Björkö, Norr om Borg, Fornlämning: L2017:1478, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Grav, Flatmarksgrav: 581",Bj 581,"Stolpe, Hjalmar",1878,,Spjut,371668_HST,Undernummer: Bj 581,Järn,"Björkö, Norr om Borg",L2017:1478,Adelsö socken,Uppland
2,2,Svärd Petersen Y,263086_HST,34000.0,Undernummer: Bj 752B,Järn,"Björkö, Hemlanden",L2017:1904,Adelsö socken,Uppland,Sverige,Kammargrav,752B,Historiska museet,Svärd Petersen Y - 3,https://samlingar.shm.se/object/FFCD05E4-1460-468B-BC52-1C50BEDF2754,Vapen och rustningar  Arkeologisk samling,,1,800 – 1100,Vikingatid,263086_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,"Plats: Björkö, Hemlanden, Fornlämning: L2017:1904, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Grav, Hög: 752B",Bj 752B,"Stolpe, Hjalmar",1879,7,Svärd Petersen Y,263086_HST,Undernummer: Bj 752B,Järn,"Björkö, Hemlanden",L2017:1904,Adelsö socken,Uppland
3,3,Tveeggat svärd,263468_HST,34000.0,Undernummer: Bj 542,Järn,"Björkö, Norr om Borg",L2017:1478,Adelsö socken,Uppland,Sverige,Kammargrav,542,Historiska museet,Tveeggat svärd - 4,https://samlingar.shm.se/object/7D599E53-A81D-4419-9521-12567F402195,Vapen och rustningar  Arkeologisk samling,Längd 945 mm  Bredd 95.8 mm,1,800 – 1100,Vikingatid,263468_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,"Plats: Björkö, Norr om Borg, Fornlämning: L2017:1478, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Grav, Obekant yttre gravskick: 542",Bj 542,"Stolpe, Hjalmar",1878,2,Tveeggat svärd,263468_HST,Undernummer: Bj 542,Järn,"Björkö, Norr om Borg",L2017:1478,Adelsö socken,Uppland
4,4,Svärd Petersen Y,264449_HST,,FID: 264449,Järn,,,,,Sverige,,,Historiska museet,Svärd Petersen Y - 5,https://samlingar.shm.se/object/CD8214A7-2FFB-472D-AE80-D587ADD518D2,Vapen och rustningar  Arkeologisk samling,Längd 20 cm  Bredd 15.5 cm,1,800 – 1100,Vikingatid,264449_HST,,,,,Land: Sverige,,,,,1,Svärd Petersen Y,264449_HST,FID: 264449,Järn,nan,nan,nan,nan
5,5,Svärd Petersen E,262915_HST,1270.0,Undernummer: 477,Järn,Raftötången,,Tanum socken,Bohuslän,Sverige,,,Historiska museet,Svärd Petersen E - 6,https://samlingar.shm.se/object/E9C1254B-506A-4D69-823C-68D9FE6BD4D5,Vapen och rustningar  Arkeologisk samling,,1,800 – 1100,Vikingatid,262915_HST,,1270,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=1270,,"Plats: Raftötången, Socken: Tanum socken, Kommun: Tanum kommun, Landskap: Bohuslän, Land: Sverige",,,,,1,Svärd Petersen E,262915_HST,Undernummer: 477,Järn,Raftötången,nan,Tanum socken,Bohuslän
6,6,Svärd Petersen H/I,262934_HST,34000.0,Undernummer: Bj 514,Järn,"Björkö, Norr om Borg",L2017:1478,Adelsö socken,Uppland,Sverige,Kammargrav,514,Historiska museet,Svärd Petersen H/I - 7,https://samlingar.shm.se/object/B2B3A4E0-9D4A-4678-AA01-DF18C7CE536B,Vapen och rustningar  Arkeologisk samling,Längd 79 cm  Bredd 10 cm,1,800 – 1100,Vikingatid,262934_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,"Plats: Björkö, Norr om Borg, Fornlämning: L2017:1478, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Grav, Obekant yttre gravskick: 514",Bj 514,"Stolpe, Hjalmar",1877,3,Svärd Petersen H/I,262934_HST,Undernummer: Bj 514,Järn,"Björkö, Norr om Borg",L2017:1478,Adelsö socken,Uppland
7,7,Eneggat svärd,263341_HST,17320.0,FID: 263341,Järn,Sangis,L1993:208,Nederkalix socken,Norrbotten,Sverige,,,Historiska museet,Eneggat svärd - 8,https://samlingar.shm.se/object/D1454B6B-27B6-48D1-9455-81E86B94B558,Arkeologisk samling  Vapen och rustningar,Längd 87 cm  Bredd 5.6 cm,1,550 – 1100,Vendeltid  Vikingatid,263341_HST,,17320,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=17320,,"Plats: Sangis, Fornlämning: L1993:208, Socken: Nederkalix socken, Kommun: Kalix kommun, Landskap: Norrbotten, Land: Sverige",,,,,2,Eneggat svärd,263341_HST,FID: 263341,Järn,Sangis,L1993:208,Nederkalix socken,Norrbotten
8,8,Tveeggat svärd,262937_HST,34000.0,Undernummer: Bj 944,Järn,"Björkö, Hemlanden",L2017:1904,Adelsö socken,Uppland,Sverige,Kammargrav,944,Historiska museet,Tveeggat svärd - 9,https://samlingar.shm.se/object/DD94166F-8EA5-4324-B992-8680D5584A97,Vapen och rustningar  Arkeologisk samling,,1,800 – 1100,Vikingatid,262937_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,"Plats: Björkö, Hemlanden, Fornlämning: L2017:1904, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Grav, Hög: 944",Bj 944,"Stolpe, Hjalmar",1881,10,Tveeggat svärd,262937_HST,Undernummer: Bj 944,Järn,"Björkö, Hemlanden",L2017:1904,Adelsö socken,Uppland
9,9,Tveeggat svärd,263027_HST,19844.0,Undernummer: 26,"Järn, Silver, Koppar",Barkarby,,Järfälla socken,Uppland,Sverige,"Röse, jordblandat",26,Historiska museet,Tveeggat svärd - 10,https://samlingar.shm.se/object/E0E34C38-2F02-46CB-8B39-98081C74492D,Vapen och rustningar  Arkeologisk samling,Längd 70 cm  Bredd 10.3 cm,1,800 – 1100,Vikingatid,263027_HST,,19844,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=19844,,"Plats: Barkarby, Socken: Järfälla socken, Kommun: Järfälla kommun, Landskap: Uppland, Land: Sverige","Röse, jordblandat: 26",,,,,Tveeggat svärd,263027_HST,Undernummer: 26,"Järn, Silver, Koppar",Barkarby,nan,Järfälla socken,Uppland
