Föremålsbenämning,Föremålsnr.,Förvärvsnr.,Andra nummer,Material,Plats,Fornlämning,Socken,Landskap,Land,Kontexttyp,Kontextnr.,Museum,Unique Name,Catalog Link,Kategori,Antal,Datering,Tidsperiod,Föremålsnummer,Historisk plats,Förvärvsnummer,Omnämns i katalog,Förvärvsmetod,Förvärvsdatum,Fyndplats,Arkeologisk kontext,Kontextnamn,Undersökare,Undersökningsår,Storlek,Antal fragment,plats_latitude,plats_longitude,historisk_plats_latitude,historisk_plats_longitude
Rundsköld,107823_HST,34000,Undernummer: Bj 750,Järn,"Björkö, Hemlanden",L2017:1904,Adelsö socken,Uppland,Sverige,Kammargrav,750,Historiska museet,Rundsköld - 1,https://samlingar.shm.se/object/1D1DB077-E65D-4565-A792-7DB74C230C10,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,107823_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000,"Plats: Björkö, Hemlanden, Fornlämning: L2017:1904, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Grav, Hög: 750",Bj 750,"Stolpe, Hjalmar",1879,,,,,,
Yxa Petersen F,107824_HST,34000,Undernummer: Bj 750,Järn,"Björkö, Hemlanden",L2017:1904,Adelsö socken,Uppland,Sverige,Kammargrav,750,Historiska museet,Yxa Petersen F - 2,https://samlingar.shm.se/object/F2BCA591-02C2-4E90-96B6-6B73E274C65A,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,107824_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000,"Plats: Björkö, Hemlanden, Fornlämning: L2017:1904, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Grav, Hög: 750",Bj 750,"Stolpe, Hjalmar",1879,,,,,,
svärdsskida,107825_HST,34000,Undernummer: Bj 750,"Cu-legering, Trä","Björkö, Hemlanden",L2017:1904,Adelsö socken,Uppland,Sverige,Kammargrav,750,Historiska museet,svärdsskida - 3,https://samlingar.shm.se/object/C1A0693F-6439-46DB-B899-D4A33A7E1E42,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,107825_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000,"Plats: Björkö, Hemlanden, Fornlämning: L2017:1904, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Grav, Hög: 750",Bj 750,"Stolpe, Hjalmar",1879,,,,,,
Tveeggat svärd,107827_HST,34000,Undernummer: Bj 750,Järn,"Björkö, Hemlanden",L2017:1904,Adelsö socken,Uppland,Sverige,Kammargrav,750,Historiska museet,Tveeggat svärd - 4,https://samlingar.shm.se/object/A38BC834-6E7D-4B34-872C-7C72939F1E37,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,107827_HST,"Birka, Adelsö socken",34000,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=34000,KML,2000,"Plats: Björkö, Hemlanden, Fornlämning: L2017:1904, Socken: Adelsö socken, Kommun: Ekerö kommun, Landskap: Uppland, Land: Sverige","Kammargrav, Grav, Hög: 750",Bj 750,"Stolpe, Hjalmar",1879,,,,,,
Tveeggat svärd,107077_HST,33136,FID: 107077,Järn,,,,Okänt landskap,Sverige,,,Historiska museet,Tveeggat svärd - 5,https://samlingar.shm.se/object/CE5A5104-17C2-4D47-BEF1-69FEAA8F9A4E,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,107077_HST,,33136,,,1998,"Landskap: Okänt landskap, Land: Sverige",,,,,,,46.3144754,11.0480288,46.3144754,11.0480288
Tveeggat svärd,107079_HST,2363,FID: 107079,Järn,Granthe (Tingstäde?),,Hejnum socken,Gotland,Sverige,,,Historiska museet,Tveeggat svärd - 6,https://samlingar.shm.se/object/A2FDB61B-71FE-408B-BC4E-9DAA4A2B159F,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,107079_HST,,2363,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=2363,,1857,"Plats: Granthe (Tingstäde?), Socken: Hejnum socken, Kommun: Gotland kommun, Landskap: Gotland, Land: Sverige",,,,,Längd 95 cm  Bredd 10 cm,,,,46.3144754,11.0480288
Tveeggat svärd,107086_HST,12634,Fyndnummer: 12,Järn,Enehagen,,Värnamo socken,Småland,Sverige,Hög,12,Historiska museet,Tveeggat svärd - 7,https://samlingar.shm.se/object/FA475F89-D094-49EA-B4A2-FC4E0D0DB3A4,Arkeologisk samling  Vapen och rustningar,1,800 – 1100,Vikingatid,107086_HST,,12634,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=12634,,1905,"Plats: Enehagen, Socken: Värnamo socken, Kommun: Värnamo kommun, Landskap: Småland, Land: Sverige",Hög: 12,,,,Längd 83 cm  Bredd 11 cm,,57.9472032,12.5217583,46.3144754,11.0480288
Svärd,107088_HST,7915,FID: 107088,Järn,Bärby,,Funbo socken,Uppland,Sverige,,,Historiska museet,Svärd - 8,https://samlingar.shm.se/object/29760862-0E82-482B-8354-174A4099A147,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,107088_HST,,7915,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=7915,,1886,"Plats: Bärby, Socken: Funbo socken, Kommun: Uppsala kommun, Landskap: Uppland, Land: Sverige",,,,,Längd 68.5 cm  Bredd 6.4 cm,,59.8566853,17.8175047,46.3144754,11.0480288
Svärd Petersen Z,107495_HST,22293,Undernummer: 2,Järn,Bengtsarvet och Häradsarvet,L2000:9040,Sollerön socken,Dalarna,Sverige,Hög,2,Historiska museet,Svärd Petersen Z - 9,https://samlingar.shm.se/object/B1C793CC-B1CD-47D8-AC84-F5540575ED93,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,107495_HST,,22293,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=22293,,1939,"Plats: Bengtsarvet och Häradsarvet, Fornlämning: L2000:9040, Socken: Sollerön socken, Kommun: Mora kommun, Landskap: Dalarna, Land: Sverige",Hög: 2,,,,,,,,46.3144754,11.0480288
Dubbeleggad yxa,106509_HST,3326,FID: 106509,Järn,Broby,,Lannaskede socken,Småland,Sverige,,,Historiska museet,Dubbeleggad yxa - 10,https://samlingar.shm.se/object/521D9D50-A222-4D6E-AB2B-4A6F7903CB27,Vapen och rustningar  Religion och kult  Arkeologisk samling,1,800 – 1100,Vikingatid,106509_HST,,3326,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=3326,,1865,"Plats: Broby, Socken: Lannaskede socken, Kommun: Vetlanda kommun, Landskap: Småland, Land: Sverige",,,,,,1,56.2549337,14.0777187,46.3144754,11.0480288
Svärd,106741_HST,16905,FID: 106741,Järn,Burge,,Lummelunda socken,Gotland,Sverige,,,Historiska museet,Svärd - 11,https://samlingar.shm.se/object/21515015-8A59-4F13-9B84-FACB558CE9DE,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,106741_HST,,16905,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=16905,,1922,"Plats: Burge, Socken: Lummelunda socken, Kommun: Gotland kommun, Landskap: Gotland, Land: Sverige",,,,,,,46.0533463,11.4566004,46.3144754,11.0480288
Spjutspets,106757_HST,13581,FID: 106757,Järn,Villsberga,,Biskopskulla socken,Uppland,Sverige,,,Historiska museet,Spjutspets - 12,https://samlingar.shm.se/object/333253B6-5192-43C2-92E8-E200C99B749A,Arkeologisk samling  Vapen och rustningar,1,800 – 1100,Vikingatid,106757_HST,,13581,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=13581,,1908,"Plats: Villsberga, Socken: Biskopskulla socken, Kommun: Enköping kommun, Landskap: Uppland, Land: Sverige",,,,,,,59.7237977,17.223294,46.3144754,11.0480288
Svärd,106758_HST,2194,Undernummer: 2,Järn,Ultuna kungsladugård,,Bondkyrka socken,Uppland,Sverige,,,Historiska museet,Svärd - 13,https://samlingar.shm.se/object/758C7462-DAF9-4DD4-8679-C7812ADE979A,Vapen och rustningar  Arkeologisk samling,1,550 – 1100,Vendeltid  Vikingatid,106758_HST,,2194,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=2194,,1855,"Plats: Ultuna kungsladugård, Socken: Bondkyrka socken, Kommun: Uppsala kommun, Landskap: Uppland, Land: Sverige",,,,,,,,,46.3144754,11.0480288
Svärd Petersen S,106760_HST,14471,FID: 106760,Järn,Sigridsholm,,Lunda socken,Uppland,Sverige,,,Historiska museet,Svärd Petersen S - 14,https://samlingar.shm.se/object/CBD5C08B-ACD8-407C-8DB0-F3F6115BF5A0,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,106760_HST,,14471,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=14471,,1911,"Plats: Sigridsholm, Socken: Lunda socken, Kommun: Sigtuna kommun, Landskap: Uppland, Land: Sverige",,,,,,,59.672228,18.0186091,46.3144754,11.0480288
Svärd Petersen V,107067_HST,12426,Undernummer: M:IV,Järn,Rösta,L1945:291,Ås socken,Jämtland,Sverige,Grav,M:IV,Historiska museet,Svärd Petersen V - 15,https://samlingar.shm.se/object/FAC5B162-EE4D-4539-9891-C775BB477E2D,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,107067_HST,,12426,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=12426,,1905,"Plats: Rösta, Fornlämning: L1945:291, Socken: Ås socken, Kommun: Krokom kommun, Landskap: Jämtland, Land: Sverige",Grav: M:IV,,,,,,59.6128374,17.2689711,46.3144754,11.0480288
Svärd,107081_HST,25370,FID: 107081,Järn,Östveda,L1951:6790,Hedesunda socken,Gästrikland,Sverige,Brandgrav,,Historiska museet,Svärd - 16,https://samlingar.shm.se/object/100D9D5B-D320-4E88-A052-AF616BB9C91A,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,107081_HST,,25370,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=25370,,1956,"Plats: Östveda, Fornlämning: L1951:6790, Fastighet: Östveda 1:2, Socken: Hedesunda socken, Kommun: Gävle kommun, Landskap: Gästrikland, Land: Sverige",Brandgrav,,,,,,60.3845286,17.096026,46.3144754,11.0480288
Tveeggat svärd,107082_HST,18780,Undernummer: 2,Järn,Norra Åbyggeby,L1951:3125,Hille socken,Gästrikland,Sverige,Grav,2,Historiska museet,Tveeggat svärd - 17,https://samlingar.shm.se/object/AF798231-3D39-4CA6-8136-217FE45A6676,Vapen och rustningar  Arkeologisk samling,1,800 – 1100,Vikingatid,107082_HST,,18780,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=18780,,1928,"Plats: Norra Åbyggeby, Fornlämning: L1951:3125, Socken: Hille socken, Kommun: Gävle kommun, Landskap: Gästrikland, Land: Sverige",Grav: 2,,,,,,60.7333682,17.1186237,46.3144754,11.0480288
