Föremålsbenämning,Föremålsnr.,Förvärvsnr.,Andra nummer,Material,Plats,Fornlämning,Socken,Landskap,Land,Kontexttyp,Kontextnr.,Museum,Unique Name,Catalog Link,Kategori,Storlek,Antal,Datering,Tidsperiod,Föremålsnummer,Förvärvsnummer,Omnämns i katalog,Förvärvsdatum,Fyndplats,Arkeologisk kontext,Förvärvsmetod,Kontextnamn,Historisk plats,Undersökare,Undersökningsår,latitude,longitude
Barr,795_HST,33759,Undernummer: 30,Silver,Spillings,L1976:7626,Othem socken,Gotland,Sverige,Skattfynd,2,Historiska museet,Barr - 1,https://samlingar.shm.se/object/4CCBEB01-351D-4F98-A992-1C222E3B7EF0,Hantverk och redskap  Handel och värdemätare  Arkeologisk samling,Vikt 96.85 g  Längd 92 mm  Bredd 14 mm  Tjocklek 11 mm,1,800 – 1100,Vikingatid,795_HST,33759,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33759,2002,"Plats: Spillings, Fornlämning: L1976:7626, Fastighet: Spillings 1:36, Socken: Othem socken, Kommun: Gotland kommun, Landskap: Gotland, Land: Sverige",Skattfynd: 2,,,,,,57.7280603,18.7542093
Barr,897_HST,33759,Undernummer: 211,Silver,Spillings,L1976:7626,Othem socken,Gotland,Sverige,Skattfynd,2,Historiska museet,Barr - 2,https://samlingar.shm.se/object/4C648ABC-1BFC-444E-8E53-C816A856C2B3,Hantverk och redskap  Handel och värdemätare  Arkeologisk samling,Vikt 95.84 g  Längd 129 mm  Bredd 12 mm  Tjocklek 9 mm,1,800 – 1100,Vikingatid,897_HST,33759,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33759,2002,"Plats: Spillings, Fornlämning: L1976:7626, Fastighet: Spillings 1:36, Socken: Othem socken, Kommun: Gotland kommun, Landskap: Gotland, Land: Sverige",Skattfynd: 2,,,,,,57.7280603,18.7542093
spiralring,911_HST,33759,Undernummer: 232,Silver,Spillings,L1976:7626,Othem socken,Gotland,Sverige,Skattfynd,2,Historiska museet,spiralring - 3,https://samlingar.shm.se/object/9345E7C4-0C1B-420A-877E-13F2A1B80328,Handel och värdemätare  Arkeologisk samling,Vikt 91.66 g  Diameter 70 mm  Bredd 5 mm  Tjocklek 5 mm,1,800 – 1100,Vikingatid,911_HST,33759,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33759,2002,"Plats: Spillings, Fornlämning: L1976:7626, Fastighet: Spillings 1:36, Socken: Othem socken, Kommun: Gotland kommun, Landskap: Gotland, Land: Sverige",Skattfynd: 2,,,,,,57.7280603,18.7542093
Konglomerat,947_HST,33759,Undernummer: 283,Silver,Spillings,L1976:7626,Othem socken,Gotland,Sverige,Skattfynd,2,Historiska museet,Konglomerat - 4,https://samlingar.shm.se/object/870C041D-7B18-4DCC-BEC7-F407671A097C,Dräkt och personlig utrustning  Handel och värdemätare  Arkeologisk samling,Vikt 69.56 g  Diameter 75 mm,,800 – 1100,Vikingatid,947_HST,33759,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33759,2002,"Plats: Spillings, Fornlämning: L1976:7626, Fastighet: Spillings 1:36, Socken: Othem socken, Kommun: Gotland kommun, Landskap: Gotland, Land: Sverige",Skattfynd: 2,,,,,,57.7280603,18.7542093
Barr,1006_HST,33759,Undernummer: 357,Silver,Spillings,L1976:7626,Othem socken,Gotland,Sverige,Skattfynd,2,Historiska museet,Barr - 5,https://samlingar.shm.se/object/67531AE6-EBF5-495D-8E6E-C193D4FE3871,Hantverk och redskap  Handel och värdemätare  Arkeologisk samling,Vikt 53.97 g  Längd 790 mm  Bredd 11 mm  Tjocklek 10 mm,1,800 – 1100,Vikingatid,1006_HST,33759,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33759,2002,"Plats: Spillings, Fornlämning: L1976:7626, Fastighet: Spillings 1:36, Socken: Othem socken, Kommun: Gotland kommun, Landskap: Gotland, Land: Sverige",Skattfynd: 2,,,,,,57.7280603,18.7542093
Barr,1038_HST,33759,Undernummer: 413,Silver,Spillings,L1976:7626,Othem socken,Gotland,Sverige,Skattfynd,2,Historiska museet,Barr - 6,https://samlingar.shm.se/object/3562C8D4-02A5-4A0B-8A09-15251AC782DA,Hantverk och redskap  Handel och värdemätare  Arkeologisk samling,Vikt 42.76 g  Längd 73.5 mm  Bredd 11 mm  Tjocklek 8 mm,1,800 – 1100,Vikingatid,1038_HST,33759,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33759,2002,"Plats: Spillings, Fornlämning: L1976:7626, Fastighet: Spillings 1:36, Socken: Othem socken, Kommun: Gotland kommun, Landskap: Gotland, Land: Sverige",Skattfynd: 2,,,,,,57.7280603,18.7542093
Konglomerat,1045_HST,33759,Undernummer: 423,Silver,Spillings,L1976:7626,Othem socken,Gotland,Sverige,Skattfynd,2,Historiska museet,Konglomerat - 7,https://samlingar.shm.se/object/ED8D8D15-87E2-4FBD-936C-2F9C87CD075C,Dräkt och personlig utrustning  Handel och värdemätare  Arkeologisk samling,Vikt 198 g  Diameter 51 mm  Diameter 57 mm  Diameter 53 mm  Diameter 45 mm  Diameter 42 mm  + Visa 1 till,,800 – 1100,Vikingatid,1045_HST,33759,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33759,2002,"Plats: Spillings, Fornlämning: L1976:7626, Fastighet: Spillings 1:36, Socken: Othem socken, Kommun: Gotland kommun, Landskap: Gotland, Land: Sverige",Skattfynd: 2,,,,,,57.7280603,18.7542093
Barr,1065_HST,33759,Undernummer: 446,Silver,Spillings,L1976:7626,Othem socken,Gotland,Sverige,Skattfynd,2,Historiska museet,Barr - 8,https://samlingar.shm.se/object/D3E7D85E-96B0-4582-B680-C730D982A51C,Hantverk och redskap  Handel och värdemätare  Arkeologisk samling,Vikt 31.29 g  Längd 53.5 mm  Bredd 12.5 mm  Tjocklek 7 mm,1,800 – 1100,Vikingatid,1065_HST,33759,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33759,2002,"Plats: Spillings, Fornlämning: L1976:7626, Fastighet: Spillings 1:36, Socken: Othem socken, Kommun: Gotland kommun, Landskap: Gotland, Land: Sverige",Skattfynd: 2,,,,,,57.7280603,18.7542093
spiralring,1070_HST,33759,Undernummer: 451,Silver,Spillings,L1976:7626,Othem socken,Gotland,Sverige,Skattfynd,2,Historiska museet,spiralring - 9,https://samlingar.shm.se/object/330985C8-C6B3-406F-AA2E-FF28711E4871,Handel och värdemätare  Arkeologisk samling,Vikt 25.75 g  Diameter 57 mm  Diameter 3 mm,1,800 – 1100,Vikingatid,1070_HST,33759,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33759,2002,"Plats: Spillings, Fornlämning: L1976:7626, Fastighet: Spillings 1:36, Socken: Othem socken, Kommun: Gotland kommun, Landskap: Gotland, Land: Sverige",Skattfynd: 2,,,,,,57.7280603,18.7542093
Barr,1095_HST,33759,Undernummer: 477,Silver,Spillings,L1976:7626,Othem socken,Gotland,Sverige,Skattfynd,2,Historiska museet,Barr - 10,https://samlingar.shm.se/object/64F077B2-C77E-4790-AB3A-9586AA4C0619,Hantverk och redskap  Handel och värdemätare  Arkeologisk samling,Vikt 37.2 g  Längd 72.5 mm  Bredd 10 mm  Tjocklek 7 mm,1,800 – 1100,Vikingatid,1095_HST,33759,http://catview.historiska.se/catview/CatViewServlet/index.jsp?action=search&redirect=true&inventoryNumber=33759,2002,"Plats: Spillings, Fornlämning: L1976:7626, Fastighet: Spillings 1:36, Socken: Othem socken, Kommun: Gotland kommun, Landskap: Gotland, Land: Sverige",Skattfynd: 2,,,,,,57.7280603,18.7542093
